GroupName,en,ko,cn,jp,ph,kh,th,af,ru,vn,ar,sentence
감정,afraid,두려운,害怕,怖い,takot na takot,ខ្លាច,กลัว,Bang,испуганный,sợ,خائف,"Are you afraid of the dark?
너는 어둠이 두렵니?
Yes, I am.
응, 그래."
감정,brave,용감한,勇敢,勇ましい,matapang na matapang,ក្លាហាន,กล้า,Dapper,храбрый,can đảm,شجاع,"You were very brave.
너 정말 용감했어.
Thank you, I tried my best.
고마워, 최선을 다했어."
감정,cry,울다,哭,泣く,sigaw ng iyak,យំយំ,ร้องไห้,Huil,плакать,khóc,بكى,"Why are you crying?
왜 울고 있니?
I just watched a sad movie.
슬픈 영화를 봤어."
감정,glad,기쁜,高兴,嬉しい,natutuwa ba,រីករាយ,ดีใจ,Bly,радостный,mừng,مسرور,"I'm glad you came.
네가 와서 기뻐.
Me too, it's great to see you.
나도 그래, 만나서 반가워."
감정,happy,행복한,快乐,嬉しい,masaya na ba,រីករាយ,สบาย,Gelukkige,счастливый,Vui vẻ,سعيد,"Are you happy with your results?
결과에 만족하니?
Yes, I'm very happy.
응, 정말 행복해."
감정,hate,미워하다,恨,憎む,galit na galit,ស្អប់,เกลียด,Haat,ненавидеть,ghét,بغض,"I hate waking up early.
나는 일찍 일어나는 게 싫어.
Me too, it's so hard.
나도 그래, 정말 힘들어."
감정,hope,희망,希望,希望,pag asa,សង្ឃឹម,หวัง,Hoop,надежда,hy vọng,أمل,"I hope it doesn't rain tomorrow.
내일 비가 안 왔으면 좋겠어.
Me too, I want to go to the park.
나도 그래, 공원에 가고 싶어."
감정,love,사랑,爱,愛,pag ibig,ស្នេហា,รัก,Liefde,любовь,Yêu,حب,"I love chocolate.
나는 초콜릿을 사랑해.
Me too, it's my favorite!
나도 그래, 내가 가장 좋아하는 거야!"
감정,sad,슬픈,伤心,悲しい,malungkot na,សោកសៅ,เศร้า,Hartseer,грустный,Buồn,حزين,"You look sad. What happened?
너 슬퍼 보인다. 무슨 일이야?
I lost my favorite book.
내가 가장 좋아하는 책을 잃어버렸어."
감정,smile,웃다,笑,笑う,ngumiti,ញញឹម,ยิ้ม,glimlachen,улыбаться,cười,يبتسم,"Your smile is beautiful.
너의 미소는 아름다워.
Thank you, that's very kind.
고마워, 정말 친절하네."
