GroupName,en,ko,cn,jp,ph,kh,th,af,ru,vn,ar,sentence
동물,animal,동물,动物,動物,hayop na hayop,សត្វ,สัตว์,Dier,животное,con vật,حيوان,"What is your favorite animal?
네가 가장 좋아하는 동물은 무엇이니?
I love elephants.
나는 코끼리를 좋아해."
동물,bear,곰,熊,熊,oso,ខ្លាឃ្មុំ,หมี,Dra,медведь,gấu,دب,"Have you ever seen a bear?
곰을 본 적이 있니?
Yes, at the zoo.
응, 동물원에서 봤어."
동물,bee,꿀벌,蜜蜂,蜂,bubuyog,ឃ្មុំ,ผึ้ง,Seb,пчела,ong,نحل," Look, there's a bee on the flower.
봐, 꽃 위에 꿀벌이 있어.
Be careful, it might sting you.
조심해, 쏠 수도 있어."""
동물,bird,새,鸟,鳥,ibon,បក្សី,นก,Voël,птица,chim,طير,"Do you hear the birds singing?
새들이 노래하는 소리 들리니?
Yes, it's beautiful.
응, 아름다워."""
동물,cat,고양이,猫,猫,pusa,ឆ្មា,แมว,Kat,кошка,mèo,قط,"Is that your cat?
저거 네 고양이야?
Yes, her name is Luna.
응, 이름은 루나야."
동물,chicken,닭,鸡,鶏,manok na manok,មាន់ជល់,ไก่,Hoender,курица,gà,دجاجة,"Do you want some chicken for dinner?
저녁으로 닭고기 먹을래?
Yes, I love chicken.
응, 나는 닭고기 좋아해."
동물,cow,암소,牛,牛,baka nga,គោ,วัว,Koei,корова,bò,بقرة,"Have you ever milked a cow?
소를 젖짜본 적 있어?
No, but I would like to try.
아니, 하지만 해보고 싶어."
동물,dog,개,狗,犬,aso,ឆ្កែ,หมา,Hond,собака,chó,كلب,"I have a dog named Bada.
나는 바다라는 이름의 개가 있어.
That's a cute name.
귀여운 이름이네."
동물,duck,오리,鸭,鴨,pato,ទា,เป็ด,Eend,утка,vịt,بطة,"Look at the ducks in the pond.
연못에 있는 오리들 봐.
They are so cute.
정말 귀여워."
동물,fish,물고기,鱼,魚,isda,ត្រី,ปลา,Vis,рыба,cá,سمك,"Do you have any pet fish?
애완 물고기 있니?
Yes, I have two goldfish.
응, 금붕어 두 마리 있어."""
